time,r
0.000000,1.200000
0.010000,1.197779
0.122493,1.196102
0.159026,1.193464
0.202966,1.190392
0.243979,1.186863
0.283603,1.182936
0.321849,1.178633
0.358984,1.173982
0.395128,1.169006
0.430388,1.163726
0.464846,1.158160
0.498565,1.152326
0.531601,1.146240
0.564000,1.139917
0.595802,1.133371
0.627044,1.126614
0.657760,1.119657
0.687982,1.112512
0.717744,1.105186
0.747075,1.097688
0.776010,1.090022
0.804583,1.082193
0.832833,1.074203
0.860803,1.066048
0.888542,1.057724
0.916111,1.049218
0.943582,1.040510
0.971055,1.031572
0.998637,1.022350
1.026518,1.012744
1.055012,1.002545
1.084733,0.991155
1.117373,0.963033
1.196137,0.956759
1.213471,0.948400
1.236498,0.940755
1.257520,0.933457
1.277592,0.926521
1.296701,0.919888
1.315037,0.913534
1.332688,0.907433
1.349741,0.901568
1.366261,0.895924
1.382303,0.890488
1.397915,0.885250
1.413137,0.880202
1.428004,0.875335
1.442549,0.870642
1.456800,0.866119
1.470782,0.861759
1.484519,0.857559
1.498033,0.853515
1.511343,0.849622
1.524470,0.845878
1.537431,0.842281
1.550244,0.838828
1.562925,0.835517
1.575491,0.832347
1.587959,0.829316
1.600343,0.826424
1.612662,0.823670
1.624932,0.821053
1.637170,0.818575
1.649395,0.816235
1.661624,0.814035
1.673878,0.811977
1.686178,0.810062
1.698553,0.808293
1.711032,0.806674
1.723653,0.805209
1.736462,0.803905
1.749518,0.802768
1.762900,0.801810
1.776726,0.801047
1.791182,0.800503
1.806622,0.800229
1.823952,0.800542
1.852010,0.801049
1.866050,0.801851
1.881122,0.802832
1.895105,0.803998
1.908670,0.805331
1.921847,0.806824
1.934756,0.808471
1.947457,0.810267
1.960003,0.812208
1.972434,0.814292
1.984781,0.816517
1.997075,0.818882
2.009338,0.821384
2.021594,0.824024
2.033860,0.826801
2.046154,0.829714
2.058493,0.832765
2.070894,0.835954
2.083374,0.839283
2.095949,0.842752
2.108637,0.846364
2.121452,0.850120
2.134411,0.854024
