x,y,z
1,1,1
1.001104,1.076073,0.995250
1.005708,1.174101,0.989521
1.013993,1.274589,0.984137
1.026087,1.378064,0.979146
1.042161,1.485194,0.974600
1.062437,1.596736,0.970567
1.087195,1.713560,0.967133
1.116790,1.836680,0.964410
1.151670,1.967305,0.962536
1.192408,2.106898,0.961695
1.239747,2.257287,0.962126
1.294674,2.420827,0.964151
1.358550,2.600695,0.968216
1.433366,2.801456,0.974974
1.522319,3.030367,0.985456
1.631515,3.301231,1.001551
1.778713,3.654347,1.028310
1.976301,4.114184,1.072527
2.136253,4.478532,1.114784
2.311801,4.872751,1.167456
2.495951,5.281565,1.229517
2.694315,5.717788,1.303927
2.909024,6.186109,1.393078
3.143156,6.693063,1.500289
3.400790,7.247059,1.630108
3.687934,7.860302,1.789223
4.014673,8.553112,1.988576
4.402871,9.369586,2.250531
4.951538,10.511183,2.666981
5.425541,11.485249,3.070223
5.874540,12.396810,3.489380
6.322060,13.293800,3.943278
6.773479,14.186005,4.437858
7.233106,15.080394,4.979600
7.703433,15.979761,5.574187
8.186574,16.885568,6.227814
8.684480,17.798292,6.947447
9.199284,18.717922,7.741407
9.733638,19.644285,8.620186
10.290836,20.576826,9.597165
10.875828,21.515560,10.691259
11.498520,22.464623,11.935325
12.182104,23.439953,13.399235
13.028357,24.537302,15.361777
13.770031,25.382930,17.228286
14.383280,25.986495,18.883757
14.954821,26.458504,20.526442
15.481762,26.803998,22.134767
15.975008,27.036460,23.731038
16.436711,27.160328,25.315006
16.868945,27.178508,26.888196
17.272432,27.092340,28.449095
17.647366,26.902281,29.995448
17.993453,26.608145,31.524164
18.310034,26.209203,33.031659
18.596114,25.704187,34.513974
18.850367,25.091173,35.966907
19.070910,24.367989,37.384929
19.255602,23.530973,38.763406
19.401717,22.574185,40.098203
19.505560,21.487708,41.385922
19.561712,20.253424,42.625162
19.561019,18.832560,43.820668
19.482106,17.107588,45.005058
19.209690,14.390203,46.391639
18.996801,12.940804,46.926635
18.715074,11.371440,47.361861
18.403949,9.907695,47.639958
18.058291,8.496236,47.795033
17.682421,7.142556,47.840707
17.277331,5.841684,47.788978
16.844616,4.593463,47.649269
16.385401,3.397599,47.429523
15.900704,2.254391,47.136653
15.391695,1.164927,46.777032
14.858979,0.129345,46.356175
14.302924,-0.852288,45.878958
13.723602,-1.780043,45.349628
13.120686,-2.654195,44.771738
12.493267,-3.475291,44.147997
11.839537,-4.244269,43.479958
11.156148,-4.962668,42.767360
10.436786,-5.633148,42.006651
9.668302,-6.260977,41.186922
8.815593,-6.860309,40.273951
7.641434,-7.534712,39.019225
6.879174,-7.887772,38.210129
6.136678,-8.173089,37.428371
5.469662,-8.383472,36.732583
4.840420,-8.544612,36.082553
4.248496,-8.665034,35.477127
3.687727,-8.752779,34.909218
3.155887,-8.813563,34.375787
2.651137,-8.852074,33.874194
2.172615,-8.872197,33.402792
1.720214,-8.877277,32.960698
1.294931,-8.870304,32.548118
0.899700,-8.854127,32.167142
0.542017,-8.831840,31.824226
0.245120,-8.808098,31.540803
0.025426,-8.787608,31.331717
-0.297454,-8.753209,31.025284
-0.775969,-8.693492,30.572636
-1.243995,-8.626037,30.130988
-1.630694,-8.564511,29.766291
-1.991783,-8.503186,29.425405
-2.326936,-8.443725,29.108259
-2.641700,-8.386458,28.809353
-2.937956,-8.332114,28.526738
-3.217534,-8.281274,28.258589
-3.481850,-8.234476,28.003548
-3.732068,-8.192209,27.760562
-3.969201,-8.154917,27.528791
-4.194160,-8.122998,27.307555
-4.407791,-8.096806,27.096303
-4.610890,-8.076658,26.894592
-4.804220,-8.062831,26.702072
-4.988516,-8.055572,26.518479
-5.164494,-8.055091,26.343627
-5.332855,-8.061570,26.177401
-5.494284,-8.075162,26.019761
-5.649452,-8.095989,25.870731
-5.799020,-8.124145,25.730403
-5.943636,-8.159693,25.598936
-6.083934,-8.202665,25.476552
-6.220537,-8.253060,25.363540
-6.354047,-8.310837,25.260252
-6.485051,-8.375916,25.167105
-6.614113,-8.448165,25.084580
-6.741769,-8.527398,25.013218
-6.868526,-8.613364,24.953619
-6.994851,-8.705733,24.906435
-7.121162,-8.804087,24.872362
-7.247822,-8.907903,24.852126
-7.375127,-9.016539,24.846466
-7.503287,-9.129217,24.856112
-7.632422,-9.245011,24.881751
-7.762540,-9.362837,24.923993
-7.893532,-9.481450,24.983325
-8.025163,-9.599452,25.060069
-8.157071,-9.715307,25.154339
-8.288772,-9.827377,25.266009
-8.419677,-9.933959,25.394688
-8.549110,-10.033333,25.539723
-8.676334,-10.123806,25.700209
-8.800574,-10.203757,25.875020
-8.921034,-10.271661,26.062851
-9.036919,-10.326107,26.262257
-9.147436,-10.365799,26.471695
-9.251799,-10.389547,26.689563
-9.349223,-10.396239,26.914226
-9.438909,-10.384806,27.144047
-9.520029,-10.354166,27.377411
-9.591690,-10.303127,27.612757
-9.652883,-10.230239,27.848647
-9.702392,-10.133472,28.083895
-9.738589,-10.009475,28.317947
-9.758876,-9.851216,28.552242
-9.756878,-9.634285,28.799226
-9.723605,-9.375000,29.018010
-9.679200,-9.170233,29.146479
-9.619669,-8.960299,29.244512
-9.550082,-8.757971,29.310105
-9.470599,-8.559203,29.348685
-9.382646,-8.365481,29.362277
-9.287037,-8.177215,29.352618
-9.184643,-7.995236,29.321018
-9.076248,-7.820333,29.268560
-8.962620,-7.653328,29.196178
-8.844581,-7.495130,29.104761
-8.722909,-7.346555,28.995109
-8.598378,-7.208403,28.867966
-8.471795,-7.081482,28.724047
-8.344007,-6.966615,28.564059
-8.215914,-6.864650,28.388727
-8.088492,-6.776465,28.198820
-7.962802,-6.702971,27.995180
-7.840008,-6.645123,27.778769
-7.721393,-6.603910,27.550711
-7.608368,-6.580348,27.312344
-7.502469,-6.575468,27.065269
-7.405349,-6.590290,26.811377
-7.318744,-6.625818,26.552853
-7.244453,-6.683053,26.292123
-7.184312,-6.763079,26.031763
-7.140238,-6.867276,25.774337
-7.114389,-6.997796,25.522177
-7.109651,-7.158769,25.276898
-7.131303,-7.360543,25.037583
-7.201170,-7.658426,24.780900
-7.283446,-7.903697,24.635242
-7.378010,-8.136700,24.542275
-7.482336,-8.361408,24.490215
-7.594987,-8.579678,24.472944
-7.714394,-8.791229,24.486893
-7.839197,-8.995383,24.529438
-7.968100,-9.191141,24.598422
-8.099891,-9.377398,24.691917
-8.233420,-9.553005,24.808110
-8.367602,-9.716821,24.945243
-8.501409,-9.867741,25.101586
-8.633871,-10.004712,25.275426
-8.764066,-10.126740,25.465063
-8.891118,-10.232893,25.668808
-9.014191,-10.322293,25.884988
-9.132475,-10.394114,26.111944
-9.245183,-10.447564,26.348038
-9.351536,-10.481871,26.591651
-9.450750,-10.496255,26.841187
-9.541950,-10.489906,27.094894
-9.624294,-10.461953,27.351230
-9.696860,-10.411342,27.608732
-9.758595,-10.336656,27.866094
-9.808201,-10.235760,28.122344
-9.843906,-10.104879,28.377353
-9.862766,-9.935518,28.633800
-9.856455,-9.692577,28.912866
-9.822390,-9.445561,29.124310
-9.774688,-9.228103,29.265200
-9.712910,-9.010783,29.370846
-9.640330,-8.798962,29.443729
-9.557715,-8.590914,29.488384
-9.466282,-8.387657,29.507064
-9.366899,-8.189806,29.501545
-9.260414,-7.998204,29.473190
-9.147611,-7.813681,29.423122
-9.029249,-7.637087,29.352309
-8.906147,-7.469354,29.261659
-8.779075,-7.311321,29.151989
-8.648798,-7.163800,29.024046
-8.516111,-7.027612,28.878542
-8.381848,-6.903589,28.716168
-8.246899,-6.792590,28.537623
-8.112225,-6.695502,28.343637
-7.978878,-6.613255,28.135004
-7.848020,-6.546819,27.912631
-7.720938,-6.497209,27.677583
-7.599062,-6.465471,27.431152
-7.483966,-6.452663,27.174909
-7.377355,-6.459824,26.910760
-7.281033,-6.487941,26.640954
-7.196857,-6.537936,26.368049
-7.126683,-6.610703,26.094806
-7.072362,-6.707241,25.824042
-7.035810,-6.828942,25.558438
-7.019252,-6.978221,25.300299
-7.025911,-7.160116,25.051000
-7.062546,-7.388515,24.808470
-7.181154,-7.796401,24.513701
