SunX,SunY,PlanetX,PlanetY
0.000000,0.000000,198890000.000000,-1651000000.000000
1.951458,-15.175548,238625568.906574,-1646937267.709090
8.284391,-60.594310,278498476.168660,-1643822648.071065
19.702020,-136.030530,318530764.398404,-1641649059.408747
36.882802,-241.175714,358743700.026514,-1640406825.022448
60.474347,-375.642753,399157582.493098,-1640083802.614999
91.088002,-538.971094,439791574.634857,-1640665546.534182
129.294232,-730.632788,480663557.808948,-1642135497.606309
175.618864,-950.039231,521790014.208194,-1644475194.669906
230.540245,-1196.548394,563185937.689955,-1647664501.574985
294.487310,-1469.472354,604864773.336712,-1651681843.384594
367.838548,-1768.084922,646838384.954919,-1656504445.771465
450.921800,-2091.629201,689117048.850479,-1662108572.096455
544.014829,-2439.324912,731709471.527202,-1668469753.328855
647.346552,-2810.375371,774622828.454388,-1675563006.759172
761.098851,-3203.973998,817862820.740694,-1683363040.302263
885.408843,-3619.310302,861433746.420017,-1691844440.038686
1020.371524,-4055.575273,905338583.078237,-1700981839.450735
1166.042658,-4511.966178,949579078.698447,-1710750069.543700
1322.441851,-4987.690727,994155847.845966,-1721124289.680784
1489.555709,-5481.970648,1039068470.622498,-1732080099.490378
1667.341006,-5994.044679,1084315592.163829,-1743593632.624583
1855.727822,-6523.171017,1129895020.813949,-1755641633.462105
2054.622585,-7068.629262,1175803823.461521,-1768201518.066111
2263.910977,-7629.721911,1222038416.858222,-1781251420.840323
2483.460699,-8205.775437,1268594654.043011,-1794770228.388138
2713.124050,-8796.141014,1315467905.266004,-1808737602.083532
2952.740319,-9400.194924,1362653133.037834,-1823133990.822117
3202.137990,-10017.338700,1410144961.124977,-1837940635.347665
3461.136747,-10646.999034,1457937737.470180,-1853139565.454102
3729.549290,-11288.627503,1506025591.142646,-1868713591.253840
4007.182970,-11941.700138,1554402483.518671,-1884646289.587398
4293.841247,-12605.716866,1603062253.963631,-1900921986.531877
4589.324978,-13280.200855,1651998660.334754,-1917525736.851060
4893.433559,-13964.697786,1701205414.654444,-1934443301.120528
5205.965921,-14658.775073,1750676214.319692,-1951661121.159143
5526.721390,-15362.021037,1800404769.217244,-1969166294.304662
5855.500440,-16074.044071,1850384825.109433,-1986946546.986657
6192.105325,-16794.471781,1900610183.644171,-2004990207.974387
6536.340626,-17522.950136,1951074719.326473,-2023286181.610583
6888.013701,-18259.142620,2001772393.769491,-2041823921.283856
7246.935065,-19002.729404,2052697267.521776,-2060593403.341891
7612.918698,-19753.406529,2103843509.745207,-2079585101.604275
7985.782294,-20510.885117,2155205405.995511,-2098789962.596839
8365.347454,-21274.890609,2206777364.335180,-2118199381.598206
8751.439836,-22045.162026,2258553919.987166,-2137805179.563043
9143.889264,-22821.451266,2310529738.717370,-2157599580.964832
9542.529799,-23603.522424,2362699619.114805,-2177575192.582998
9947.199780,-24391.151147,2415058493.920462,-2197724983.244697
10357.741844,-25184.124018,2467601430.539461,-2218042264.519737
10774.002918,-25982.237969,2520323630.855979,-2238520672.357748
11195.834194,-26785.299729,2573220430.456701,-2259154149.649366
11623.091089,-27593.125291,2626287297.356055,-2279936929.687543
12055.633192,-28405.539414,2679519830.305301,-2300863520.500869
12493.324195,-29222.375152,2732913756.757385,-2321928690.027743
12936.031826,-30043.473403,2786464930.550459,-2343127452.098151
13383.627760,-30868.682490,2840169329.364905,-2364455053.188508
13835.987540,-31697.857760,2894023052.001483,-2385906959.914393
14292.990477,-32530.861209,2948022315.521892,-2407478847.225858
14754.519565,-33367.561122,3002163452.287386,-2429166587.270257
15220.461378,-34207.831745,3056442906.926076,-2450966238.888164
15690.705972,-35051.552963,3110857233.255208,-2472874037.708745
16165.146789,-35898.610005,3165403091.180826,-2494886386.812005
16643.680557,-36748.893162,3220077243.593837,-2516999847.926458
17126.207190,-37602.297522,3274876553.278559,-2539211133.132022
17612.629690,-38458.722723,3329797979.847208,-2561517097.039246
18102.854054,-39318.072714,3384838576.711567,-2583914729.417297
18596.789175,-40180.255535,3439995488.101061,-2606401148.244490
19094.346748,-41045.183110,3495265946.134810,-2628973593.156464
19595.441185,-41912.771045,3550647267.953707,-2651629419.268437
