SunX,SunY,PlanetX,PlanetY,zComp
0.000000,0.000000,198890000.000000,-1651000000.000000,0
0.003717,-0.030758,200674909.734970,-1650794811.877626,0
0.007406,-0.061216,201408032.791660,-1650709967.702385,0
0.009545,-0.078849,201747747.883487,-1650670540.689812,0
0.010785,-0.089067,201927277.852025,-1650649675.998085,0
0.011562,-0.095463,202034429.453666,-1650637213.577555,0
0.012090,-0.099818,202105347.790366,-1650628961.442323,0
0.012479,-0.103015,202156430.215668,-1650623015.522370,0
0.012782,-0.105515,202195821.587364,-1650618429.330020,0
0.013032,-0.107573,202227901.664758,-1650614693.660902,0
0.013247,-0.109339,202255190.521804,-1650611515.423707,0
0.013437,-0.110907,202279223.557766,-1650608716.001904,0
0.013611,-0.112335,202300982.413636,-1650606181.175817,0
0.013773,-0.113666,202321120.627217,-1650603834.889539,0
0.013926,-0.114926,202340088.334441,-1650601624.750264,0
0.014073,-0.116136,202358204.520226,-1650599513.625016,0
0.014216,-0.117311,202375700.667400,-1650597474.563169,0
0.014356,-0.118461,202392748.124814,-1650595487.612407,0
0.014493,-0.119596,202409475.846242,-1650593537.754737,0
0.014630,-0.120720,202425982.234468,-1650591613.528242,0
0.014766,-0.121840,202442343.262084,-1650589706.082027,0
0.014902,-0.122959,202458618.172538,-1650587808.512700,0
0.015039,-0.124081,202474853.566887,-1650585915.388708,0
0.015176,-0.125207,202491086.387497,-1650584022.403024,0
0.015313,-0.126341,202507352.873957,-1650582125.329113,0
0.015452,-0.127484,202523681.060022,-1650580220.896117,0
0.015593,-0.128638,202540092.330572,-1650578306.607639,0
0.015735,-0.129805,202556603.161191,-1650576380.539126,0
0.015878,-0.130984,202573226.388766,-1650574441.189869,0
0.016023,-0.132178,202589972.146533,-1650572487.374074,0
0.016170,-0.133387,202606848.556137,-1650570518.140241,0
0.016319,-0.134611,202623862.242162,-1650568532.711211,0
0.016470,-0.135851,202641018.715965,-1650566530.439441,0
0.016623,-0.137107,202658322.662804,-1650564510.773543,0
0.016777,-0.138381,202675778.157078,-1650562473.233199,0
0.016934,-0.139671,202693388.823965,-1650560417.390317,0
0.017094,-0.140979,202711157.961009,-1650558342.854860,0
0.017255,-0.142306,202729088.629698,-1650556249.264161,0
0.017418,-0.143650,202747183.724568,-1650554136.274871,0
